python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-20, 28.37
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-50, 29.53
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-600, 213.44
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-1000, 44.89
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-170, 34.60
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-900, 331.56
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-180, 96.40
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-70, 65.58
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-450, 184.42
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-750, 161.67
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-110, 101.67
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-800, 1100.14
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-250, 39.19
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-160, 95.16
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-950, 95.37
